text,language,sentiment,likes,retweets
"4 days to go! 🗳️
Vidhan Sabha elections on 20 Nov 2024, 7 AM to 3 PM.
Your vote matters—don’t miss it!
#post #Twitterers #4daystogo #vidhansabhaelection2024 #election @CeodelhiOffice @CEO_Maharashtra https://t.co/Ef7h0xRkyG",en,neutral,0.0,0.0
"#MissionSwaraj 
#MaharashtraElections2024",auto,neutral,0.0,0.0
"#ಮಹಾರಾಷ್ಟ್ರ ವಿಧಾನಸಭಾ ಚುನಾವಣಾ ಹಿನ್ನಲೆ #ನೀಲಂಗಾ ಕ್ಷೇತ್ರದ ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷದ ಅಭ್ಯರ್ಥಿ ಶ್ರೀ @Abhay_Salunke3 ಅವರ ಪರವಾಗಿ #ಸವರಿ ಗ್ರಾಮದಲ್ಲಿ ಪ್ರಚಾರ ನಡೆಸಿ ಮತಯಾಚನೆ ಮಾಡಿದೆ.ಈ ವೇಳೆ ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷದ ಅಧ್ಯಕ್ಷರು,ಗ್ರಾಮದ ಅನೇಕ ಮುಖಂಡರು ಉಪಸ್ಥಿತರಿದ್ದರು.

#Congress #Nilanga #MaharashtraElections2024 @DKShivakumar @siddaramaiah @rssurjewala @GCC_MP @Abhay_Salunke3",auto,positive,7.0,6.0
"Often in Elections, Political parties make promises which they don't fulfill.

Dhruv Rathee challenged all the 6 parties of Maharashtra and placed before them all the big problems of Maharashtra.

Aditya Thackeray has accepted this challenge that if his government comes, these problems will be eliminated.

#MissionSwaraj",en,neutral,11.0,2.0
"मतदार राजा जागा हो, लोकशाहीचा धागा हो!

बुधवार, दिनांक २० नोव्हेंबर २०२४ रोजी मतदान करा आणि आपल्या अधिकाराचा योग्य वापर करा.

वोट कर, मुंबईकर!

#righttovote
#MaharashtraElections2024 
#Election2024 

@ECISVEEP
@CEO_Maharashtra
@CPMumbaiPolice
@MumbaiPolice
@electionmumbai",auto,positive,7.0,5.0
"#MaharashtraElections2024 | #November23WithTimesNow

The biggest faces speak only to Times Now

From the powerhouses driving the state's agenda

To the fresh voices challenging the status quo

Who will rise, and who will fall?

The most credible voices, only on #TimesNow https://t.co/AOrZYRWPcD",en,positive,0.0,0.0
"निवडणूक लेकीची, 
विजय धारावीचा...! 

#DharaviKiJyoti #DharaviKiBeti 
#DharaviForJyoti #लेक_धारावीची 
#ModaniHataoDharaviBachao
#AapkiJyoti #MaharashtraElections2024 https://t.co/2Ee3GDjozB",auto,neutral,1.0,0.0
"After many months while....
Welcome Back to Maharashtra Chief @PawanKalyan ❤️‍🔥🦁

#NDAForMaharashtra @JanaSenaParty
#MaharashtraElections2024
https://t.co/lb27RfyegR",en,positive,2.0,3.0
"@Dineshkjoshi007 निवडणूक लेकीची, 
विजय धारावीचा...! 

#DharaviKiJyoti #DharaviKiBeti 
#DharaviForJyoti #लेक_धारावीची 
#ModaniHataoDharaviBachao
#AapkiJyoti #MaharashtraElections2024",auto,neutral,1.0,0.0
"@Rakibkh08889526 @DrJyotiEGaikwad @INCIndia @INCMaharashtra @INCMumbai @IYC_Mumbai @IYCMaha @MumbaiDharavi @DharaviUnited निवडणूक लेकीची, 
विजय धारावीचा...! 

#DharaviKiJyoti #DharaviKiBeti 
#DharaviForJyoti #लेक_धारावीची 
#ModaniHataoDharaviBachao
#AapkiJyoti #MaharashtraElections2024",auto,neutral,0.0,0.0
